# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Apr 24 17:12:35 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN st_teff:        Stellar Effective Temperature [K]
#
pl_name,pl_orbsmax,st_teff
11 Com b,1.1780000000,4874.00
11 UMi b,1.5300000000,4213.00
14 And b,0.7750000000,4888.00
14 Her b,2.8390000000,5338.00
16 Cyg B b,1.6600000000,5750.00
17 Sco b,1.4500000000,4157.00
18 Del b,2.4760000000,4980.00
1RXS J160929.1-210524 b,330.0000000000,4060.00
24 Boo b,0.1940000000,4816.00
24 Sex b,1.3330000000,5098.00
24 Sex c,2.0800000000,5098.00
2M0437 b,118.0000000000,3100.00
2MASS J01033563-5515561 AB b,84.0000000000,
2MASS J01225093-2439505 b,52.0000000000,3530.00
2MASS J02192210-3925225 b,156.0000000000,3064.00
2MASS J0249-0557 c,1950.0000000000,2859.00
2MASS J03590986+2009361 b,572.0000000000,2943.00
2MASS J04414489+2301513 b,15.0000000000,2936.00
2MASS J11011926-7732383 b,266.0000000000,
2MASS J11550485-7919108 b,587.0000000000,3021.00
2MASS J12073346-3932539 b,46.0000000000,2825.00
2MASS J19383260+4603591 b,0.9200000000,29564.00
2MASS J21252752-8138278 b,7493.0000000000,3592.00
2MASS J22362452+4751425 b,230.0000000000,4045.00
2MASS J22501512+2325342 b,518.0000000000,3352.00
4 UMa b,0.8770000000,4415.00
47 UMa b,2.1000000000,5872.00
47 UMa c,3.6000000000,5872.00
47 UMa d,11.6000000000,5872.00
51 Eri b,10.4000000000,7422.00
51 Peg b,0.0527000000,5758.00
55 Cnc B b,0.0440000000,3286.00
55 Cnc B c,0.1300000000,3286.00
55 Cnc b,0.1180000000,5198.00
55 Cnc c,0.2470000000,5198.00
55 Cnc d,5.6000000000,5198.00
55 Cnc e,0.0154400000,5172.00
55 Cnc f,0.8020000000,5198.00
6 Lyn b,2.0280000000,4941.00
61 Vir b,0.0502010000,5577.00
61 Vir c,0.2175000000,5577.00
61 Vir d,0.4760000000,5577.00
7 CMa b,1.7580000000,4826.00
7 CMa c,2.1530000000,4826.00
70 Vir b,0.4810000000,5495.00
75 Cet b,1.9120000000,4809.00
75 Cet c,3.9290000000,4809.00
8 UMi b,0.4620000000,4847.00
81 Cet b,2.1040000000,4734.00
91 Aqr b,0.7000000000,4665.00
AB Aur b,93.9000000000,9770.00
AB Pic b,260.0000000000,5285.00
AF Lep b,8.9960000000,6140.00
AT2021ueyL b,4.0100000000,3680.00
AU Mic b,0.0700000000,3540.00
AU Mic c,0.1190000000,3540.00
AU Mic d,,3678.00
AU Mic e,,3665.00
BD+03 2562 b,1.3000000000,4095.00
BD+05 4868 A b,0.0208000000,4596.00
BD+14 4559 b,0.7800000000,4864.00
BD+15 2375 b,0.5760000000,4649.00
BD+15 2940 b,0.5390000000,4796.00
BD+20 2457 b,1.4500000000,4137.00
BD+20 2457 c,2.0100000000,4137.00
BD+20 274 b,1.3000000000,4296.00
BD+20 594 b,0.2410000000,5766.00
BD+37 3172 b,4.6500000000,4500.00
BD+42 2315 b,0.5400000000,4500.00
BD+45 564 b,0.8300000000,5004.00
BD+48 738 b,1.0000000000,4414.00
BD+48 740 b,1.7000000000,4534.00
BD+49 828 b,4.2000000000,4943.00
BD+55 362 b,0.7800000000,5012.00
BD+60 1417 b,1662.0000000000,4993.00
BD+63 1405 b,2.0600000000,5000.00
BD-06 1339 b,0.0428000000,4324.00
BD-06 1339 c,0.4350000000,4324.00
BD-08 2823 b,0.0600000000,4816.00
BD-08 2823 c,0.6800000000,4746.00
BD-10 3166 b,0.0400000000,5393.00
BD-11 4672 b,2.3600000000,4550.00
BD-11 4672 c,0.3000000000,4550.00
BD-13 2130 b,1.6600000000,4545.00
BD-14 3065 b,0.0656000000,6935.00
BD-17 63 b,1.3400000000,4714.00
BD-210397 b,2.6300000000,4051.00
BD-210397 c,5.9000000000,4051.00
BEBOP-3 b,1.4440000000,6033.00
BEBOP-4 AB b,3.6340000000,5701.43
Barnard b,0.0229000000,3195.00
Barnard c,0.0274000000,3195.00
Barnard d,0.0188000000,3195.00
Barnard e,0.0381000000,3195.00
CD Cet b,0.0185000000,3130.00
CD-35 2722 b,67.0000000000,3689.00
CFBDSIR J145829+101343 b,2.6000000000,580.50
CFHTWIR-Oph 98 b,200.0000000000,2320.00
CHXR 73 b,210.0000000000,3099.00
CI Tau c,0.1700000000,3807.00
COCONUTS-2 b,7506.0000000000,3406.00
CT Cha b,440.0000000000,4403.00
CWISEP J193518.59-154620.3 b,2.4800000000,
CoRoT-1 b,0.0275200000,5950.00
CoRoT-10 b,0.1055000000,5075.00
CoRoT-11 b,0.0436000000,6440.00
CoRoT-12 b,0.0401600000,5675.00
CoRoT-13 b,0.0510000000,5945.00
CoRoT-14 b,0.0270000000,6035.00
CoRoT-16 b,0.0618000000,5650.00
CoRoT-17 b,0.0461000000,5740.00
CoRoT-18 b,0.0295000000,5440.00
CoRoT-19 b,0.0518000000,6090.00
CoRoT-2 b,0.0279800000,5625.00
CoRoT-20 b,0.0900000000,5880.00
CoRoT-20 c,2.9000000000,5880.00
CoRoT-21 b,0.0417000000,6200.00
CoRoT-22 b,0.0920000000,5939.00
CoRoT-23 b,0.0480000000,5900.00
CoRoT-24 b,0.0560000000,4950.00
CoRoT-24 c,0.0980000000,4950.00
CoRoT-25 b,0.0578000000,6040.00
CoRoT-26 b,0.0526000000,5590.00
CoRoT-27 b,0.0476000000,5900.00
CoRoT-28 b,0.0603000000,5150.00
CoRoT-29 b,0.0386000000,5260.00
CoRoT-3 b,0.0578300000,6740.00
CoRoT-30 b,0.0844000000,5650.00
CoRoT-31 b,0.0586000000,5700.00
CoRoT-32 b,0.0710000000,5970.00
CoRoT-35 b,0.0429000000,6390.00
CoRoT-36 b,0.0660000000,6730.00
CoRoT-4 b,0.0900000000,6190.00
CoRoT-5 b,0.0494700000,6100.00
CoRoT-6 b,0.0855000000,6090.00
CoRoT-7 b,0.0170160000,5275.00
CoRoT-7 c,0.0460000000,5256.00
CoRoT-7 d,,5250.00
CoRoT-8 b,0.0630000000,5080.00
CoRoT-9 b,0.4021000000,5625.00
DE CVn b,5.7500000000,3579.00
DENIS-P J082303.1-491201 b,0.3600000000,
DH Tau b,330.0000000000,4371.00
DMPP-1 b,0.1423000000,6196.00
DMPP-1 c,0.0973000000,6196.00
DMPP-1 d,0.0446700000,6196.00
DMPP-1 e,0.0651000000,6196.00
DMPP-2 b,0.0663800000,6500.00
DMPP-2 c,0.0478900000,6500.00
DMPP-2 d,0.1432000000,6500.00
DMPP-3 A b,0.0595800000,5138.00
DMPP-4 b,0.0485300000,6400.00
DMPP-6 b,0.0779000000,6182.09
DMPP-6 c,0.2206000000,6182.09
DMPP-7 b,0.0587300000,5996.82
DMPP-8 b,0.3098000000,6009.00
DMPP-9 b,0.1097000000,6092.00
DP Leo b,8.1900000000,13500.00
DS Tuc A b,,5428.00
EPIC 201170410.02,0.0349000000,3648.00
EPIC 201238110 b,,3587.00
EPIC 201427007 b,,5633.00
EPIC 201497682 b,,4991.00
EPIC 201595106 b,0.0177000000,5679.00
EPIC 201615463 c,,5960.00
EPIC 201754305 d,,4761.00
EPIC 201757695.02,0.0296000000,4520.00
EPIC 201833600 c,,4326.00
EPIC 201841433 b,0.0350000000,5053.00
EPIC 205950854 c,,5502.70
EPIC 206024342 b,,5724.00
EPIC 206024342 c,,5724.00
EPIC 206024342 d,,5724.00
EPIC 206032309 b,,3489.00
EPIC 206042996 b,,4114.00
EPIC 206042996 c,,4114.00
EPIC 206215704 b,,3297.00
EPIC 206317286 b,,4752.00
EPIC 206317286 c,,4752.00
EPIC 211822797 b,0.1195000000,4057.00
EPIC 211945201 b,0.1493000000,6069.00
EPIC 212297394 b,,5171.00
EPIC 212297394 c,,5171.00
EPIC 212424622 b,,5782.33
EPIC 212499991 b,,4982.79
EPIC 212587672 b,,6004.00
